Emotion,big-6,everyday-categories,occ-categories,fsre-categories,frijda-categories,extra-emotions-1,extra-emotions-2,extra-emotions-3,dimensions
abandonment,0,0,0,0,0,0,0,1,0
abhorrence,0,0,0,0,0,0,1,0,0
abomination,0,0,0,0,0,0,0,1,0
absorption,0,0,0,0,0,0,0,1,0
abstinence,0,0,0,0,0,0,1,0,0
acceptance,0,0,0,0,0,1,0,0,0
admiration,0,0,1,0,0,0,0,0,0
adoration,0,0,0,0,0,0,0,1,0
affection,0,1,0,0,0,0,0,0,0
affectionateness,0,0,0,0,0,0,0,1,0
affliction,0,0,0,0,0,0,0,1,0
aggravation,0,0,0,0,0,0,1,0,0
aggressiveness,0,0,0,0,0,0,1,0,0
agony,0,0,0,0,0,0,1,0,0
alarm,0,0,0,0,0,0,0,1,0
alienation,0,0,0,0,0,0,1,0,0
aliveness,0,0,0,0,0,0,0,1,0
aloofness,0,0,0,0,0,0,1,0,0
alteration,0,0,0,0,0,0,1,0,0
amazement,0,0,0,0,0,0,0,1,0
ambiance,0,0,0,0,0,0,0,1,0
amusement,0,1,0,0,0,0,0,0,0
anger,1,1,1,1,1,0,0,0,0
angst,0,0,0,0,0,0,1,0,0
anguish,0,0,0,0,0,0,0,1,0
animation,0,0,0,0,0,0,0,1,0
anticipation,0,0,0,0,0,0,0,0,0
antipathy,0,0,0,0,0,0,1,0,0
anxiety,0,1,0,1,0,0,0,0,0
apathy,0,0,0,0,0,0,1,0,0
appraisal,0,0,0,0,0,0,0,1,0
appreciation,0,0,1,0,0,0,0,0,0
arousal,0,0,0,0,0,1,0,0,1
arrogance,0,0,0,0,1,0,0,0,0
assimilation,0,0,0,0,0,0,1,0,0
astonishment,0,0,0,0,0,0,0,1,0
attraction,0,0,0,0,0,0,0,1,0
audaciousness,0,0,0,0,0,0,0,1,0
aversion,0,0,0,0,0,0,0,1,0
avoidance,0,0,0,0,0,0,0,1,0
awareness,0,0,0,0,0,0,0,1,0
awe,0,0,0,0,0,1,0,0,0
awfulness,0,0,0,0,0,0,0,1,0
awkwardness,0,0,0,0,0,0,0,1,0
badness,0,0,0,0,0,0,0,1,0
bashfulness,0,0,0,0,0,0,1,0,0
belief,0,0,0,0,0,0,0,1,0
bewilderment,0,0,0,0,0,0,0,1,0
bitterness,0,0,0,0,0,0,0,1,0
blame,0,0,0,0,0,1,0,0,0
blessedness,0,0,0,0,0,0,0,1,0
boldness,0,0,0,0,0,0,0,1,0
boredom,0,1,0,0,0,0,0,0,0
bravery,0,0,0,0,0,0,1,0,0
brightness,0,0,0,0,0,0,0,1,0
calmness,0,1,0,0,0,0,0,0,0
capableness,0,0,0,0,0,0,0,1,0
cautiousness,0,0,0,0,0,0,0,1,0
certainty,0,0,0,0,0,0,0,1,0
chastity,0,0,0,0,0,0,1,0,0
cheerfulness,0,0,0,0,0,0,1,0,0
cleverness,0,0,0,0,0,0,0,1,0
closeness,0,0,0,0,0,0,0,1,0
cloudiness,0,0,0,0,0,0,0,1,0
coercion,0,0,0,0,0,0,1,0,0
coldness,0,0,0,0,0,0,0,1,0
compassion,0,0,0,1,0,0,0,0,0
composure,0,0,0,0,0,0,0,1,0
compromise,0,0,0,0,0,1,0,0,0
compulsion,0,0,0,0,0,0,1,0,0
concern,0,0,0,0,0,1,0,0,0
confidence,0,1,0,0,0,0,0,0,0
conformity,0,0,0,0,0,0,1,0,0
confusion,0,0,0,0,0,1,0,0,0
consciousness,0,0,0,0,0,0,0,1,0
consideration,0,0,0,0,0,0,0,1,0
consonance,0,0,0,0,0,0,1,0,0
contempt,0,0,0,0,0,0,0,0,0
content,0,0,0,0,0,0,0,1,0
contentment,0,0,0,1,0,0,0,0,0
contrariness,0,0,0,0,0,0,1,0,0
courage,0,0,0,0,0,0,0,1,0
courageousness,0,0,0,0,0,0,0,1,0
covetousness,0,0,0,0,0,0,1,0,0
criticalness,0,0,0,0,0,0,0,1,0
crossness,0,0,0,0,0,0,0,1,0
curiosity,0,1,0,0,0,1,0,0,0
darkness,0,0,0,0,0,0,0,1,0
decency,0,0,0,0,0,0,1,0,0
defeat,0,0,0,0,0,0,0,1,0
defiance,0,0,0,0,0,0,0,1,0
delight,0,0,0,0,0,0,0,1,0
denial,0,0,0,0,0,1,0,0,0
depression,0,0,0,0,0,1,0,0,0
desire,0,0,0,0,1,0,0,0,0
desolation,0,0,0,0,0,0,0,1,0
despair,0,0,0,1,0,0,0,0,0
despicableness,0,0,0,0,0,0,0,1,0
determination,0,0,0,0,0,0,0,1,0
devastation,0,0,0,0,0,0,0,1,0
devotion,0,0,0,0,0,0,0,1,0
diffidence,0,0,0,0,0,0,0,1,0
diligence,0,0,0,0,0,0,1,0,0
dimension,0,0,0,0,0,0,0,1,0
disappointment,0,1,1,1,0,0,0,0,0
disbelief,0,0,0,0,0,0,0,1,0
disdain,0,0,0,0,0,0,0,1,0
disgrace,0,0,0,0,0,0,0,1,0
disgust,1,0,0,1,1,0,0,0,0
disillusionment,0,0,0,0,0,0,0,1,0
dislike,0,0,0,0,0,0,0,1,0
dismay,0,0,0,0,0,0,0,1,0
disorientation,0,0,0,0,0,0,0,1,0
disrespect,0,0,0,0,0,0,0,1,0
dissonance,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,0,0,1,0
distress,0,0,1,0,0,0,0,0,0
distrust,0,0,0,0,0,0,0,1,0
disturbance,0,0,0,0,0,0,0,1,0
dominance,0,0,0,0,0,0,0,1,1
doubt,0,0,0,0,0,0,0,1,0
doubtfulness,0,0,0,0,0,0,0,1,0
dread,0,0,1,0,0,0,0,0,0
dullness,0,0,0,0,0,0,0,1,0
eagerness,0,0,0,0,0,0,0,1,0
earnestness,0,0,0,0,0,0,0,1,0
easiness,0,0,0,0,0,0,0,1,0
ecstasy,0,0,0,0,0,1,0,0,0
edginess,0,0,0,0,0,1,0,0,0
ego,0,0,0,0,0,0,1,0,0
elation,0,0,0,0,0,0,0,1,0
embarrassment,0,0,1,0,0,0,0,0,0
empathy,0,0,0,0,0,0,1,0,0
emptiness,0,0,0,0,0,0,0,1,0
encouragement,0,0,0,0,0,0,0,1,0
endurance,0,0,0,0,0,0,1,0,0
engagement,0,0,0,0,0,0,0,1,0
engrossment,0,0,0,0,0,0,0,1,0
enjoyment,0,0,0,0,1,0,0,0,0
enlightenment,0,0,0,0,0,0,1,0,0
enragement,0,0,0,0,0,0,0,1,0
enthusiasm,0,0,0,0,0,1,0,0,0
envy,0,0,0,0,0,0,0,0,0
eroticism,0,0,0,0,0,1,0,0,0
euphoria,0,0,0,0,0,0,1,0,0
exasperation,0,0,0,0,0,0,0,1,0
excitation,0,0,0,0,0,0,0,1,0
excitement,0,1,0,0,0,0,0,0,0
exhaustion,0,0,0,0,0,0,1,0,0
exploitation,0,0,0,0,0,0,0,1,0
exuberance,0,0,0,0,0,1,0,0,0
familiarity,0,0,0,0,0,0,1,0,0
fascination,0,0,0,0,0,0,0,1,0
fate,0,0,0,0,0,0,0,1,0
fatigue,0,0,0,0,0,0,0,1,0
fear,1,0,1,1,1,0,0,0,0
festivity,0,0,0,0,0,0,0,1,0
flatness,0,0,0,0,0,0,0,1,0
fondness,0,0,0,0,0,0,0,1,0
foolishness,0,0,0,0,0,0,1,0,0
forgiveness,0,0,0,0,0,0,0,1,0
fortune,0,0,0,0,0,0,0,1,0
freedom,0,0,0,0,0,0,0,1,0
fright,0,0,0,0,0,0,0,1,0
friskiness,0,0,0,0,0,0,0,1,0
frustration,0,0,0,0,0,0,0,1,0
fulfillment,0,0,0,0,0,0,0,1,0
furiousness,0,0,0,0,0,0,0,1,0
fury,0,0,0,0,0,0,0,1,0
gallantry,0,0,0,0,0,0,1,0,0
gayness,0,0,0,0,0,0,0,1,0
glee,0,0,0,0,0,0,0,1,0
gloominess,0,0,0,0,0,0,0,1,0
gluttony,0,0,0,0,0,0,1,0,0
goodness,0,0,0,0,0,0,0,1,0
grace,0,0,0,0,0,1,0,0,0
gratification,0,0,0,0,0,0,0,0,0
gratitude,0,0,1,0,0,0,0,0,0
greatness,0,0,0,0,0,0,0,1,0
greed,0,0,0,0,0,0,1,0,0
grief,0,0,0,0,0,1,0,0,0
guilt,0,0,0,1,0,0,0,0,0
happiness,1,0,0,1,0,0,0,0,0
hardiness,0,0,0,0,0,0,0,1,0
harmony,0,1,0,0,0,0,0,0,0
hate,0,0,1,1,0,0,1,0,0
helplessness,0,0,0,0,0,0,0,1,0
hesitance,0,0,0,0,0,0,0,1,0
hesitancy,0,0,0,0,0,0,0,1,0
honor,0,0,0,0,0,0,1,0,0
hope,0,0,1,0,0,0,0,0,0
hopefulness,0,0,0,0,0,0,0,1,0
horror,0,0,0,0,0,0,0,1,0
hostility,0,0,0,0,0,0,0,1,0
hotness,0,0,0,0,0,0,0,1,0
humbleness,0,0,0,0,0,0,1,0,0
humiliation,0,0,0,0,0,0,0,1,0
humility,0,0,0,0,1,0,0,0,0
hurt,0,0,0,0,0,0,0,1,0
ignorance,0,0,0,0,0,0,1,0,0
importance,0,0,0,0,0,0,0,1,0
impulse,0,0,0,0,0,0,0,1,0
impulsiveness,0,0,0,0,0,0,0,1,0
inadequacy,0,0,0,0,0,0,0,1,0
inadequateness,0,0,0,0,0,0,0,1,0
incapableness,0,0,0,0,0,0,0,1,0
indifference,0,0,0,0,1,0,0,0,0
inducement,0,0,0,0,0,0,1,0,0
indulgence,0,0,0,0,0,0,1,0,0
infatuation,0,0,0,0,0,0,0,1,0
infection,0,0,0,0,0,0,0,1,0
inferiority,0,0,0,0,0,0,0,1,0
inflammation,0,0,0,0,0,0,0,1,0
infuriation,0,0,0,0,0,0,0,1,0
innocence,0,0,0,0,0,0,1,0,0
inquisitiveness,0,0,0,0,0,0,0,1,0
insecurity,0,0,0,0,0,0,0,1,0
insignificance,0,0,0,0,0,0,0,1,0
inspiration,0,0,0,0,0,0,1,0,0
insult,0,0,0,0,0,0,0,1,0
intensity,0,0,0,0,0,0,0,0,1
intentness,0,0,0,0,0,0,0,1,0
interest,0,0,0,1,1,0,0,0,0
intimacy,0,0,0,0,0,0,0,1,0
intrigue,0,0,0,0,0,0,0,1,0
invulnerability,0,0,0,0,0,0,0,1,0
irritation,0,0,0,1,0,0,0,0,0
isolation,0,0,0,0,0,0,1,0,0
jealousy,0,0,0,1,0,0,0,0,0
joy,0,1,1,1,0,0,0,0,0
jubilance,0,0,0,0,0,0,0,1,0
keenness,0,0,0,0,0,0,0,1,0
kindness,0,0,0,0,0,0,1,0,0
liberality,0,0,0,0,0,0,1,0,0
liberation,0,0,0,0,0,0,0,1,0
lifelessness,0,0,0,0,0,0,0,1,0
liveliness,0,0,0,0,0,0,1,0,0
lividness,0,0,0,0,0,0,0,1,0
loathing,0,0,0,0,0,0,0,1,0
loneliness,0,0,0,0,0,0,0,1,0
loss,0,0,0,0,0,0,1,0,0
lousiness,0,0,0,0,0,0,0,1,0
love,0,1,1,1,0,0,0,0,0
luck,0,0,0,0,0,0,1,0,0
luckiness,0,0,0,0,0,0,0,1,0
lunacy,0,0,0,0,0,1,0,0,0
lust,0,0,0,0,0,1,0,0,0
mania,0,0,0,0,0,1,0,0,0
melancholy,0,0,0,0,0,1,0,0,0
merriness,0,0,0,0,0,0,0,1,0
misery,0,0,0,0,0,0,0,1,0
modesty,0,0,0,0,0,0,1,0,0
motivation,0,0,0,0,0,0,1,0,0
mournfulness,0,0,0,0,0,0,0,1,0
negation,0,0,0,0,0,0,0,1,0
negativeness,0,0,0,0,0,0,0,1,0
neglect,0,0,0,0,0,0,0,1,0
nervousness,0,0,0,0,0,0,1,0,0
neutrality,0,0,0,0,0,0,0,1,0
nonchalance,0,0,0,0,0,0,0,1,0
nostalgia,0,0,0,0,0,0,1,0,0
numbness,0,0,0,0,0,0,0,1,0
obsession,0,0,0,0,0,0,1,0,0
offensiveness,0,0,0,0,0,0,0,1,0
openness,0,0,0,0,0,0,0,1,0
optimism,0,0,0,0,0,0,0,1,0
outrage,0,0,0,0,0,0,0,1,0
pain,0,0,0,1,0,0,0,0,0
panic,0,0,0,0,0,1,0,0,0
paralysis,0,0,0,0,0,0,0,1,0
passion,0,0,0,0,0,0,0,1,0
passionateness,0,0,0,0,0,0,0,1,0
patience,0,0,0,0,0,1,0,0,0
peacefulness,0,0,0,0,0,0,0,1,0
permanence,0,0,0,0,0,0,1,0,0
perplexity,0,0,0,0,0,0,0,1,0
persuasion,0,0,0,0,0,0,1,0,0
perturbation,0,0,0,0,0,1,0,0,0
pessimism,0,0,0,0,0,0,0,1,0
petrification,0,0,0,0,0,0,0,1,0
pity,0,0,1,0,0,0,0,0,0
playfulness,0,0,0,0,0,0,0,1,0
pleasantness,0,0,0,0,0,0,0,1,0
pleasure,0,0,0,1,0,0,0,0,1
positiveness,0,0,0,0,0,0,0,1,0
potency,0,0,0,0,0,0,0,0,1
power,0,0,0,0,0,0,0,1,0
powerfulness,0,0,0,0,0,0,0,1,0
powerlessness,0,0,0,0,0,0,0,1,0
preoccupation,0,0,0,0,0,0,0,1,0
pride,0,1,1,1,0,0,0,0,0
provocation,0,0,0,0,0,0,0,1,0
quietness,0,0,0,0,0,0,0,1,0
quirkiness,0,0,0,0,0,0,0,1,0
rage,0,0,0,0,0,1,0,0,0
reassurance,0,0,0,0,0,0,0,1,0
rebellion,0,0,0,0,0,0,0,1,0
rebelliousness,0,0,0,0,0,0,0,1,0
reception,0,0,0,0,0,0,0,1,0
receptiveness,0,0,0,0,0,0,0,1,0
reenforcement,0,0,0,0,0,0,0,1,0
regret,0,0,0,0,0,0,0,1,0
reinforcement,0,0,0,0,0,0,0,1,0
rejection,0,0,0,0,0,0,0,1,0
relaxation,0,0,0,0,0,0,0,1,0
reliability,0,0,0,0,0,0,0,1,0
relief,0,0,1,0,0,0,0,0,0
reluctance,0,0,0,0,0,0,0,1,0
remorse,0,0,1,0,0,0,0,0,0
reproach,0,0,1,0,0,0,0,0,0
resentment,0,0,1,0,0,0,0,0,0
reservation,0,0,0,0,0,0,0,1,0
resignation,0,0,0,0,1,0,0,0,0
resistance,0,0,0,0,0,0,0,1,0
respect,0,0,0,0,0,0,0,1,0
restlessness,0,0,0,0,0,0,0,1,0
revulsion,0,0,0,0,0,0,0,1,0
ridicule,0,0,0,0,0,0,0,1,0
sadness,1,1,0,1,0,0,0,0,0
safety,0,0,0,0,0,0,0,1,0
saltiness,0,0,0,0,0,0,0,1,0
sarcasm,0,0,0,0,0,0,0,1,0
satisfaction,0,1,1,0,0,0,0,0,0
scorn,0,0,0,0,0,0,0,1,0
sensitivity,0,0,0,0,0,0,1,0,0
serenity,0,0,0,0,0,0,1,0,0
seriousness,0,0,0,0,0,0,0,1,0
shakiness,0,0,0,0,0,0,0,1,0
shame,0,0,1,1,0,0,0,0,0
shock,0,0,0,0,1,0,0,0,0
shyness,0,0,0,0,0,0,0,1,0
skepticism,0,0,0,0,0,0,0,1,0
sloth,0,0,0,0,0,0,1,0,0
snoopiness,0,0,0,0,0,0,0,1,0
sobriety,0,0,0,0,0,0,1,0,0
sourness,0,0,0,0,0,0,0,1,0
spirit,0,0,0,0,0,0,0,1,0
spiritedness,0,0,0,0,0,0,0,1,0
spite,0,0,0,0,0,0,0,1,0
stolidity,0,0,0,0,0,0,1,0,0
straightness,0,0,0,0,0,0,0,1,0
strength,0,0,0,0,0,0,0,1,0
stress,0,0,0,1,0,0,0,0,0
stubbornness,0,0,0,0,0,0,1,0,0
stupidity,0,0,0,0,0,0,0,1,0
submission,0,0,0,0,0,0,0,1,0
subversion,0,0,0,0,0,0,0,1,0
sulkiness,0,0,0,0,0,0,0,1,0
sulky,0,0,0,0,0,0,0,1,0
sullenness,0,0,0,0,0,0,0,1,0
sunniness,0,0,0,0,0,0,0,1,0
sureness,0,0,0,0,0,0,0,1,0
surprise,1,0,0,1,1,0,0,0,0
suspicion,0,0,0,0,0,0,0,1,0
sweetness,0,0,0,0,0,0,0,1,0
sympathy,0,0,0,0,0,0,0,1,0
tearfulness,0,0,0,0,0,0,0,1,0
tenaciousness,0,0,0,0,0,0,0,1,0
tenacity,0,0,0,0,0,0,0,1,0
tenderness,0,0,0,0,0,0,0,1,0
tenseness,0,0,0,0,0,0,0,1,0
terribleness,0,0,0,0,0,0,0,1,0
terror,0,0,0,0,0,0,0,1,0
thoughtfulness,0,0,0,0,0,0,1,0,0
threat,0,0,0,0,0,0,0,1,0
thrill,0,0,0,0,0,0,0,1,0
tolerance,0,0,0,0,0,0,1,0,0
tragedy,0,0,0,0,0,0,0,1,0
triumph,0,0,1,0,0,0,0,0,0
trust,0,0,0,0,0,0,0,0,0
uncertainty,0,0,0,0,0,0,0,1,0
understanding,0,0,0,0,0,0,0,1,0
uneasiness,0,0,0,0,0,0,0,1,0
unhappiness,0,0,0,0,0,0,0,1,0
unification,0,0,0,0,0,0,1,0,0
uniqueness,0,0,0,0,0,0,0,1,0
unity,0,0,0,0,0,0,1,0,0
unpleasantness,0,0,0,0,0,0,0,1,0
unpredictability,0,0,0,0,0,0,0,0,1
uselessness,0,0,0,0,0,0,0,1,0
valence,0,0,0,0,0,0,0,0,1
validation,0,0,0,0,0,0,1,0,0
vanity,0,0,0,0,0,0,1,0,0
veneration,0,0,0,0,0,0,0,1,0
vengefulness,0,0,0,0,0,0,0,1,0
victimization,0,0,0,0,0,0,0,1,0
vigor,0,0,0,0,0,0,0,1,0
vileness,0,0,0,0,0,0,0,1,0
vulnerability,0,0,0,0,0,0,0,1,0
warmness,0,0,0,0,0,0,0,1,0
weariness,0,0,0,0,0,0,0,1,0
withdrawal,0,0,0,0,0,0,0,1,0
withdrawnness,0,0,0,0,0,0,0,1,0
woe,0,0,0,0,0,0,0,1,0
woefulness,0,0,0,0,0,0,0,1,0
wonder,0,0,0,0,0,1,0,0,0
wonderfulness,0,0,0,0,0,0,0,1,0
worry,0,1,0,0,0,0,0,0,0
worthlessness,0,0,0,0,0,0,0,1,0
wrath,0,0,0,0,0,0,1,0,0
